,question,contexts,ground_truth,evolution_type,metadata,episode_done
0,What are some of the action sequences in which Keanu faces off in the third chapter of the JOHN WICK franchise?,"['Review: The inevitable third chapter of the JOHN WICK franchise continues on a high with the same quality as the last. In fact, this may just pip that one to the post to be the best JOHN WICK yet. The pacing is spot on and the plotting is measured by a huge amount of action sequences, all of which fizz and crackle with skill and energy. The movie hits the ground running as Keanu faces off with a hulking character in a library and then Triads in a weapon shop, but what really amazes here is the']",The answer to given question is not present in context,simple,"[{'source': 'john_wick_3.csv', 'row': 19, 'Review_Date': '22 September 2019', 'Review_Title': ' Sheer enjoyment\n', 'Review_Url': '/review/rw5135863/?ref_=tt_urv', 'Author': 'Leofwine_draca', 'Rating': 9, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 29, 16, 43, 42, 638104)}]",True
1,What role does Rome play in the plot of the movie John Wick: Chapter 2?,"[': 17\nReview: Picking up where the first movie left off, John Wick still wants his car back. Also, he now discovers that there is a bounty on his head. Rejoining his former profession, he heads to Rome to complete an assassination assignment.']",Rome plays a significant role in the plot of the movie 'John Wick: Chapter 2' as John Wick heads to Rome to complete an assassination assignment as part of the storyline.,simple,"[{'source': 'john_wick_2.csv', 'row': 17, 'Review_Date': '18 March 2018', 'Review_Title': ' Even worse than the first movie\n', 'Review_Url': '/review/rw4095490/?ref_=tt_urv', 'Author': 'grantss', 'Rating': 2, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 28, 16, 43, 42, 637271)}]",True
2,What role does Rome play in the plot of the movie John Wick: Chapter 2?,"[': 17\nReview: Picking up where the first movie left off, John Wick still wants his car back. Also, he now discovers that there is a bounty on his head. Rejoining his former profession, he heads to Rome to complete an assassination assignment.']",Rome plays a significant role in the plot of the movie 'John Wick: Chapter 2' as John Wick heads to Rome to complete an assassination assignment as part of the storyline.,simple,"[{'source': 'john_wick_2.csv', 'row': 17, 'Review_Date': '18 March 2018', 'Review_Title': ' Even worse than the first movie\n', 'Review_Url': '/review/rw4095490/?ref_=tt_urv', 'Author': 'grantss', 'Rating': 2, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 28, 16, 43, 42, 637271)}]",True
3,What can viewers expect from the action scenes in the movie John Wick: Chapter 2?,"[""Review: In this 2nd installment of John Wick, the stylish visual and hard core action returns twice the level of the first film. So prepare for another suspenseful and cliffhanging sequences flow from this action movie when you watch this. The story goes deeper and the action scenes were incredibly entertaining! The revenge theme was still part of the movie's plot but this time the focus is the personal backstab of Wick. Keanu Reeves delivers again a notable performance as a titular character.""]","Viewers can expect incredibly entertaining action scenes with a stylish visual and hardcore intensity in the movie John Wick: Chapter 2. The sequences are suspenseful and cliffhanging, providing a thrilling experience for the audience.",simple,"[{'source': 'john_wick_2.csv', 'row': 8, 'Review_Date': '23 February 2020', 'Review_Title': ' Great\n', 'Review_Url': '/review/rw5503709/?ref_=tt_urv', 'Author': 'MrHeraclius', 'Rating': 0, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 28, 16, 43, 42, 637256)}]",True
4,What makes John Wick (2014) stand out as a revenge flick starring Keanu Reeves?,"[""Review: John Wick (2014) is the best revenge flick from Keanu Reeves of 2014 from The Matrix (1999) to John Wick (2014) another action fast paced, Entertaining slick action packed film, which kind I have never seen before. It is a very fun, straightforward action movie with an 80's sensibility. It's nice to see Keanu doing these types of roles again. It is one of my personal favorite Keanu Reeves movies. Keanu Reeves is a bad ass what a great action packed blood packed film. Movies should""]","John Wick (2014) stands out as a revenge flick starring Keanu Reeves due to its fast-paced, entertaining, and slick action-packed nature. It is a unique film that combines elements of classic 80's action movies with Keanu Reeves' charismatic performance, making it a personal favorite for many fans.",simple,"[{'source': 'john_wick_1.csv', 'row': 7, 'Review_Date': '19 November 2015', 'Review_Title': ' The best action revenge film of all time from 2014 so far!\n', 'Review_Url': '/review/rw3357633/?ref_=tt_urv', 'Author': 'ivo-cobra8', 'Rating': 10, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 27, 16, 43, 42, 635750)}]",True
5,"What is the significance of the title ""Parabellum"" in the context of the world filled with assassins in the John Wick series?","['one where the world was filled with assassins, popping up from everywhere all the time. I remember ending that film feeling like it had gone too far but that the third would probably do more of that. True enough, Parabellum (""prepare for war"") sees the whole world filled with assassins, and a huge administrative system around them - but yet the whole lot of them can\'t seem to cause John Wick too much trouble. As with the first film, this expands the world more than it can bear, and although it']",The answer to given question is not present in context,simple,"[{'source': 'john_wick_3.csv', 'row': 0, 'Review_Date': '22 September 2019', 'Review_Title': ' Enjoyably choreographed, but the lack of consequence combined with the global scale robs it of urgency and means it outstays its welcome a bit\n', 'Review_Url': '/review/rw5136960/?ref_=tt_urv', 'Author': 'bob the moo', 'Rating': 0, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 29, 16, 43, 42, 638067)}]",True
6,What makes 'John Wick: Chapter 3 - Parabellum' stand out as one of the best looking action films?,"["": 8\nReview: About 6 months ago I saw a picture of the set of 'John Wick: Chapter 3 - Parabellum' featuring Keanu Reeves on horseback shooting at motorcyclists. It was such a great looking shot that I have been waiting eagerly to see how it looked in the actual film ever since. It did not let me down. The style this film possesses is insane. It is one of the best looking action films I have ever seen.""]",The style of 'John Wick: Chapter 3 - Parabellum' is what makes it stand out as one of the best looking action films. The film possesses an insane style that captivates viewers and sets it apart from other action films.,simple,"[{'source': 'john_wick_3.csv', 'row': 8, 'Review_Date': '15 May 2019', 'Review_Title': ' A brutal non-stop ride\n', 'Review_Url': '/review/rw4854687/?ref_=tt_urv', 'Author': 'jtindahouse', 'Rating': 8, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 29, 16, 43, 42, 638086)}]",True
7,"How does the protagonist in ""John Wick: Chapter 2"" endure such extreme punishment throughout the film?","['Review: No doubt about it, ""John Wick: Chapter 2"" is a slick action thriller, but man, oh man, how can any one person absorb that kind of punishment? John (Keanu Reeves) gets shot, stabbed and hit by cars multiple times and postures a limp now and then to indicate he might have gotten just a little bit hurt. Besides that, he almost never makes a wrong move when hunted by dozens of assassins all at the same time. Okay, I get it, Reeves is the star of the picture and has to come out on top, but']",The answer to given question is not present in context,simple,"[{'source': 'john_wick_2.csv', 'row': 0, 'Review_Date': '14 September 2018', 'Review_Title': ' ""No one gets out and comes back without repercussions.""\n', 'Review_Url': '/review/rw4338449/?ref_=tt_urv', 'Author': 'classicsoncall', 'Rating': 7, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 28, 16, 43, 42, 637239)}]",True
8,How does the movie John Wick compare to the movie Taken in terms of plot and premise?,"[""Review: The best way I can describe John Wick is to picture Taken but instead of Liam Neeson it's Keanu Reeves and instead of his daughter it's his dog. That's essentially the plot of the movie. John Wick (Reeves) is out to seek revenge on the people who took something he loved from him. It's a beautifully simple premise for an action movie - when action movies get convoluted, they get bad i.e. A Good Day to Die Hard. John Wick gives the viewers what they want: Awesome action, stylish stunts,""]",The best way I can describe John Wick is to picture Taken but instead of Liam Neeson it's Keanu Reeves and instead of his daughter it's his dog. That's essentially the plot of the movie. John Wick (Reeves) is out to seek revenge on the people who took something he loved from him. It's a beautifully simple premise for an action movie.,simple,"[{'source': 'john_wick_1.csv', 'row': 0, 'Review_Date': '6 May 2015', 'Review_Title': ' Kinetic, concise, and stylish; John Wick kicks ass.\n', 'Review_Url': '/review/rw3233896/?ref_=tt_urv', 'Author': 'lnvicta', 'Rating': 8, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 27, 16, 43, 42, 635718)}]",True
9,How does John Wick: Chapter 4 continue the storyline from Chapter 3: Parabellum?,"[""Review: John Wick: Chapter 4 picks up where Chapter 3: Parabellum left off. As has been the tradition in the sequels to this beloved martial arts action franchise the action starts from the very inception of the film's opening, and lasts until the curtain falls. JW4 is no exception to that rule. What it does do is improve on the prior installment, and solidify Keanu Reeves as the greatest martial arts action star of all time. If you don't accept that notion, then you must accept the fact that""]","John Wick: Chapter 4 picks up where Chapter 3: Parabellum left off, continuing the tradition of starting with intense action from the very beginning. The film improves on the previous installment and further establishes Keanu Reeves as the greatest martial arts action star of all time.",simple,"[{'source': 'john_wick_4.csv', 'row': 19, 'Review_Date': '17 March 2023', 'Review_Title': ' The Best John Wick Sequel\n', 'Review_Url': '/review/rw8935117/?ref_=tt_urv', 'Author': 'tkdlifemagazine', 'Rating': 9, 'Movie_Title': 'John Wick 4', 'last_accessed_at': datetime.datetime(2024, 9, 30, 16, 43, 42, 638830)}]",True
10,How has the 'John Wick' series managed to remain consistent in quality despite the trend of loathing movie sequels?,"["": 20\nReview: In a world where movie sequels seem to be loathed even before they are released, the 'John Wick' series has remained remarkably consistent and well received. In fact all three of the first films have the same IMDb rating of 7.4/10 and I noticed recently that I gave them all the same rating of 8/10. Incredibly, I think 'John Wick: Chapter 4' is the best the series has to offer. This movie was a wild ride.""]","The 'John Wick' series has managed to remain consistent in quality by delivering well-received movies with the same IMDb rating of 7.4/10 for all three films. Despite the general trend of loathing movie sequels, the series has maintained a high level of consistency and quality, with 'John Wick: Chapter 4' being considered the best installment yet.",simple,"[{'source': 'john_wick_4.csv', 'row': 20, 'Review_Date': '23 March 2023', 'Review_Title': ' THIS is how you justify a 3 hour runtime\n', 'Review_Url': '/review/rw8946038/?ref_=tt_urv', 'Author': 'jtindahouse', 'Rating': 9, 'Movie_Title': 'John Wick 4', 'last_accessed_at': datetime.datetime(2024, 9, 30, 16, 43, 42, 638831)}]",True
11,"What year was ""John Wick: Chapter 2"" released?","['Review: ""John Wick: Chapter 2"" (2017 release; 122 min.) continues the \'adventures\' of former (?) hit man John Wick. As the movie opens, we are immediately thrown in the middle of a car vs. bike chase, and next thing we know, we find our man retrieving his beloved Mustang from a chop shop in NYC, but not without cars flying about, and dozens of dead or wounded bodies. And that\'s all in the pre-opening credits! As the story unfolds, Wick, who wants ""out, is nevertheless forced back ""in"" when an']",The movie 'John Wick: Chapter 2' was released in 2017.,simple,"[{'source': 'john_wick_2.csv', 'row': 4, 'Review_Date': '13 February 2017', 'Review_Title': ' The rare sequel that is better than the original movie\n', 'Review_Url': '/review/rw3639244/?ref_=tt_urv', 'Author': 'paul-allaer', 'Rating': 8, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 28, 16, 43, 42, 637250)}]",True
12,How did the second John Wick film expand on the narrative and world-building of the first film?,"['Review: It is 5 years since the first John Wick film - one that took me by surprise by how silly it was as a narrative, but yet how well it delivered action sequences. The second film was only 2 years ago, and it raised the stakes and went from a man seeking revenge on another group of people, into one where the world was filled with assassins, popping up from everywhere all the time. I remember ending that film feeling like it had gone too far but that the third would probably do more of that.']","The second John Wick film expanded on the narrative and world-building of the first film by raising the stakes and transitioning from a simple revenge story to a world filled with assassins. It introduced a broader scope of characters and situations, creating a more complex and interconnected world for John Wick to navigate.",simple,"[{'source': 'john_wick_3.csv', 'row': 0, 'Review_Date': '22 September 2019', 'Review_Title': ' Enjoyably choreographed, but the lack of consequence combined with the global scale robs it of urgency and means it outstays its welcome a bit\n', 'Review_Url': '/review/rw5136960/?ref_=tt_urv', 'Author': 'bob the moo', 'Rating': 0, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 29, 16, 43, 42, 638067)}]",True
13,What role does the Continental hotel play in the movie John Wick: Chapter 2?,"[""Review: After resolving his issues with the Russian mafia, John Wick (Keanu Reeves) returns home. But soon the mobster Santino D'Antonio (Riccardo Scamarcio) visits him to show Wick's marker and tells that he needs to help. John Wicks refuses since he is retired and Santino blows-up his house. John Wick meets the owner of the Continental hotel in New York City, Winston (Ian McShane), and he tells that Wick cannot violate the Mafia rules and shall honor the marker. Santino asks John Wick to kill""]","The Continental hotel in New York City, owned by Winston, serves as a safe haven for assassins and a neutral territory where no 'business' can be conducted. It enforces the rules of the underworld, including the prohibition of 'conducting business' on its premises. John Wick seeks refuge and assistance from Winston after his house is blown up by Santino D'Antonio.",simple,"[{'source': 'john_wick_2.csv', 'row': 20, 'Review_Date': '28 May 2017', 'Review_Title': ' A New Franchise is Born\n', 'Review_Url': '/review/rw3718180/?ref_=tt_urv', 'Author': 'claudio_carvalho', 'Rating': 8, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 28, 16, 43, 42, 637276)}]",True
14,"How did the director of ""John Wick"" utilize his experience from working on ""The Matrix"" to enhance the action sequences in the film?","[""against the Russian Mafia. It might sound like the film takes quite a leap but it all makes sense. The motives of John and the people who get in the way of his bullets are all very clear, even if it does come across as rather simple. That's the plot at it's most basic. Then there's the action. The film is directed by Reeve's stuntman from The Matrix, so this guy knows action. There are sequences that flow so smoothly it puts other action films and their quick cuts to shame. Keaunu moves so""]","The director of 'John Wick' utilized his experience from working on 'The Matrix' to enhance the action sequences in the film by bringing a deep understanding of action choreography and flow. Being Reeves' stuntman from The Matrix, he was able to create sequences that flow smoothly and outshine other action films with their seamless execution.",simple,"[{'source': 'john_wick_1.csv', 'row': 20, 'Review_Date': '22 October 2014', 'Review_Title': ' Smoothest action film to come around in a long time\n', 'Review_Url': '/review/rw3109271/?ref_=tt_urv', 'Author': 'IceSkateUpHill', 'Rating': 10, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 27, 16, 43, 42, 635773)}]",True
15,What sets JOHN WICK apart from other action films with its emotional story and detailed world?,"[""Review: JOHN WICK is a rare example of Hollywood getting things spot-on when it comes to creating the near-perfect action film. JOHN WICK is a relentless, pulse-pounding thriller that has plenty of similarity to the Liam Neeson classic TAKEN, albeit with a more simplistic (and also more emotionally intense) plot line. This is the kind of lean, pared-down film-making that's all about intensity and momentum. It sits well with classic international fare like POINT BLANK, SLEEPLESS NIGHT, MEA"", 'Review: John Wick is something special. It takes as much time setting up elaborate action sequences as it does the world with which it all takes place in. And what a world it is. It reminds me of Millers Crossing and it is cooler than any other recent attempt at noir. We are shown a criminal underworld where, if you are connected, many powerful people know who you are and show you respect. John Wick was connected but he got out. He is the rare killer who has found peace, and he is grateful for']",The answer to given question is not present in context,multi_context,"[{'source': 'john_wick_1.csv', 'row': 11, 'Review_Date': '25 September 2015', 'Review_Title': ' Action as it should be\n', 'Review_Url': '/review/rw3323198/?ref_=tt_urv', 'Author': 'Leofwine_draca', 'Rating': 8, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 27, 16, 43, 42, 635758)}, {'source': 'john_wick_1.csv', 'row': 20, 'Review_Date': '22 October 2014', 'Review_Title': ' Smoothest action film to come around in a long time\n', 'Review_Url': '/review/rw3109271/?ref_=tt_urv', 'Author': 'IceSkateUpHill', 'Rating': 10, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 27, 16, 43, 42, 635773)}]",True
16,What triggers John Wick's revenge mission in the movie with Tarantino-style dialogue and 70s action star vibe?,"['a brutal home invasion that leaves his beloved dog murdered by thugs from his past, John Wick vows revenge on the ones who have taken what he loves most. Like I said, on paper, this seems like a direct-to-DVD slopfest starring John Cena but as a film with Keanu Reeves as the lead, it marks the very welcomed return for Reeves to the genre. John Wick is insanely fun, violently brutal and an overall romp especially for those disappointed by The Expendables 3. John Wick is propelled by', ""the very welcomed return for Reeves to the genre. John Wick is insanely fun, violently brutal and an overall romp especially for those disappointed by The Expendables 3. John Wick is propelled by Tarantino-esque dialog mixed with the swagger of action stars from the 70s. Reeves literally emulates cool in this film and does it with such confidence, that we don't even doubt the character...even when he kills countless bad guys with extreme force in some utterly ridiculous and implausible""]",John Wick's revenge mission is triggered by a brutal home invasion that results in the murder of his beloved dog by thugs from his past. This event leads him to vow revenge on those who have taken what he loves most.,multi_context,"[{'source': 'john_wick_1.csv', 'row': 9, 'Review_Date': '20 October 2014', 'Review_Title': "" The coolest action film you'll see all year\n"", 'Review_Url': '/review/rw3107759/?ref_=tt_urv', 'Author': 'trublu215', 'Rating': 9, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 27, 16, 43, 42, 635754)}, {'source': 'john_wick_1.csv', 'row': 9, 'Review_Date': '20 October 2014', 'Review_Title': "" The coolest action film you'll see all year\n"", 'Review_Url': '/review/rw3107759/?ref_=tt_urv', 'Author': 'trublu215', 'Rating': 9, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 27, 16, 43, 42, 635754)}]",True
17,How does humor improve the enjoyment of John Wick 3?,"["": 13\nReview: Following on from two deliriously entertaining, visually gorgeous and blissfully simplistic thrillers, John Wick: Chapter 3 - Parabellum keeps up the franchise's unique appeal in stunning fashion. Complete with electrifying action, beautiful cinematography, a pulsating score and a great sense of humour, the film is pretty much as purely joyful as action thrillers get, and proves two hours of brilliant entertainment."", "": 24\nReview: John Wick: Chapter 3 - Parabellum is quite literally about consequences, dealing with the fallout of John's actions at the end of the previous film and sending him on an even bigger odyssey of violence that continues to explore this world of assassination and deliver beautifully clean action sequences.""]","Humor in John Wick: Chapter 3 - Parabellum adds to the enjoyment by providing moments of levity amidst the intense action sequences. It helps balance the tension and violence with comedic relief, making the overall experience more engaging and entertaining for the audience.",multi_context,"[{'source': 'john_wick_3.csv', 'row': 13, 'Review_Date': '15 May 2019', 'Review_Title': ' Pure, delirious joy in the form of yet another exhilarating thriller\n', 'Review_Url': '/review/rw4855261/?ref_=tt_urv', 'Author': 'themadmovieman', 'Rating': 8, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 29, 16, 43, 42, 638094)}, {'source': 'john_wick_3.csv', 'row': 24, 'Review_Date': '17 May 2019', 'Review_Title': ' Makes John Wick a superb trilogy\n', 'Review_Url': '/review/rw4860603/?ref_=tt_urv', 'Author': 'masonsaul', 'Rating': 10, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 29, 16, 43, 42, 638112)}]",True
18,"What makes John Wick: Chapter 2 stand out in action, set design, and camera work compared to other films in the genre?","[""known for their artistic value but John Wick: Chapter 2 sets the bar pretty high, not only in its action, but in it's set design and camera work. This is pure escapist entertainment and couldn't have come at a better time. Those wanting to take a break from watching the Oscar nominees, this film is exactly what you're looking for."", ""Review: John Wick Chapter 2 pits Keanu Reeves' titular character against the mean and nefarious of the criminal underworld. Once again, Reeves proves that he is a force to be reckoned with in this ridiculous, over-the-top sequel that is every bit as fun as the original. These types of films are rarely known for their artistic value but John Wick: Chapter 2 sets the bar pretty high, not only in its action, but in it's set design and camera work. This is pure escapist entertainment and couldn't""]","John Wick: Chapter 2 stands out in action, set design, and camera work compared to other films in the genre due to its high bar in these aspects. The film offers pure escapist entertainment with impressive set design and camera work, setting it apart from typical action movies. Keanu Reeves' performance as the titular character adds to the film's appeal, making it a fun and over-the-top sequel that is enjoyable for audiences seeking a break from more serious Oscar-nominated films.",multi_context,"[{'source': 'john_wick_2.csv', 'row': 16, 'Review_Date': '9 February 2017', 'Review_Title': ' Kick-ass, entertaining and relentless throughout. This is what every sequel should aspire to be.\n', 'Review_Url': '/review/rw3636884/?ref_=tt_urv', 'Author': 'trublu215', 'Rating': 5, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 28, 16, 43, 42, 637269)}, {'source': 'john_wick_2.csv', 'row': 16, 'Review_Date': '9 February 2017', 'Review_Title': ' Kick-ass, entertaining and relentless throughout. This is what every sequel should aspire to be.\n', 'Review_Url': '/review/rw3636884/?ref_=tt_urv', 'Author': 'trublu215', 'Rating': 5, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 28, 16, 43, 42, 637269)}]",True
19,How does choreography impact John Wick?,"[""paced, brilliantly shot and meticulously choreographed and keeps you wanting more and more. The supporting cast filled with the likes of John Legiuzamo, Ian McShane, and Willen Dafoe also keeps this film very interesting. These guys don't play good guys, hell, John Wick by traditional standards would be a bad guy in any other film. Every character is more ruthless than the next and pushes John Wick to be more ruthless than they are, creating a very cool dynamic between the character and the""]",The answer to given question is not present in context,multi_context,"[{'source': 'john_wick_1.csv', 'row': 9, 'Review_Date': '20 October 2014', 'Review_Title': "" The coolest action film you'll see all year\n"", 'Review_Url': '/review/rw3107759/?ref_=tt_urv', 'Author': 'trublu215', 'Rating': 9, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 27, 16, 43, 42, 635754)}]",True
20,What was John Wick's previous job in the movie?,"[""Review: Wow what a great surprise this was. I was told by a friend this was good but it's been awhile since I liked a Keanu movie so I was hesitant to try it. Retired hit-man John Wick (Keanu Reeves) loses his wife to cancer. After her funeral he receives a puppy she left him. A few days later some thugs, led by the son of a Russian gangster John used to work for, break into John's house. They beat him up, take the keys to his beloved car, and kill the puppy. They did this not knowing who he"", ""Review: If you've seen the first John Wick movie, you know that Keanu Reeves is John Wick, a retired assassin who comes out of retirement when someone kills his dog. In this one, which begins a week later, matters are still reverberating, and some one has stolen his car, which calls for a lot of carnage. That settled, John is called on to pay off an old debt by helping Ian McShane take over the Assassin's Guild by flying around to Italy, Canada and Manhattan and killing what seems like hundreds""]",John Wick's previous job in the movie was a retired hit-man.,multi_context,"[{'source': 'john_wick_1.csv', 'row': 10, 'Review_Date': '22 November 2014', 'Review_Title': ' Most Excellent\n', 'Review_Url': '/review/rw3128980/?ref_=tt_urv', 'Author': 'utgard14', 'Rating': 7, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 27, 16, 43, 42, 635756)}, {'source': 'john_wick_2.csv', 'row': 19, 'Review_Date': '29 November 2020', 'Review_Title': ' John Wick Kills A Lot Of People\n', 'Review_Url': '/review/rw6320115/?ref_=tt_urv', 'Author': 'boblipton', 'Rating': 5, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 28, 16, 43, 42, 637274)}]",True
21,Which scene in John Wick exemplifies the intense action and moral ambiguity?,"['Wick regarding the morality of bad and evil. This film wants you entertained and does so with brute force, it never lets up, not even for a second. One scene in particular that will have your blood pumping is a showdown between thugs and Wick in a nightclub. This action sequence remains the best in the film and will have you grasping your theater seat because of the sheer intensity of it. Overall, John Wick is slick, violent fun that turns into a remarkable, surprising film that will catch you', ""would be a bad guy in any other film. Every character is more ruthless than the next and pushes John Wick to be more ruthless than they are, creating a very cool dynamic between the character and the plot regarding the idea of how far is too far? However, don't expect some revelation from John Wick regarding the morality of bad and evil. This film wants you entertained and does so with brute force, it never lets up, not even for a second. One scene in particular that will have your blood""]",One scene in particular that will have your blood pumping is a showdown between thugs and Wick in a nightclub. This action sequence remains the best in the film and will have you grasping your theater seat because of the sheer intensity of it.,multi_context,"[{'source': 'john_wick_1.csv', 'row': 9, 'Review_Date': '20 October 2014', 'Review_Title': "" The coolest action film you'll see all year\n"", 'Review_Url': '/review/rw3107759/?ref_=tt_urv', 'Author': 'trublu215', 'Rating': 9, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 27, 16, 43, 42, 635754)}, {'source': 'john_wick_1.csv', 'row': 9, 'Review_Date': '20 October 2014', 'Review_Title': "" The coolest action film you'll see all year\n"", 'Review_Url': '/review/rw3107759/?ref_=tt_urv', 'Author': 'trublu215', 'Rating': 9, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 27, 16, 43, 42, 635754)}]",True
22,Who does Keanu Reeves play in John Wick and how does his performance impact the movie?,"["": 8\nReview: It's hard to find anything bad to say about John Wick. The action is beautifully choreographed, the setup is surprisingly emotional for an action flick, and Keanu.... What more is there to say? If you love action or even just like it you will be in for the ride of your life.""]",The answer to given question is not present in context,multi_context,"[{'source': 'john_wick_1.csv', 'row': 8, 'Review_Date': '23 February 2020', 'Review_Title': ' love this movie highly recommend\n', 'Review_Url': '/review/rw5503708/?ref_=tt_urv', 'Author': 'MrHeraclius', 'Rating': 0, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 27, 16, 43, 42, 635752)}]",True
23,Why does John Wick go to Rome for a contract despite the bounty on his head?,"[': 17\nReview: Picking up where the first movie left off, John Wick still wants his car back. Also, he now discovers that there is a bounty on his head. Rejoining his former profession, he heads to Rome to complete an assassination assignment.']",John Wick goes to Rome for a contract despite the bounty on his head because he reenters his former profession and takes on an assassination assignment in order to complete it.,reasoning,"[{'source': 'john_wick_2.csv', 'row': 17, 'Review_Date': '18 March 2018', 'Review_Title': ' Even worse than the first movie\n', 'Review_Url': '/review/rw4095490/?ref_=tt_urv', 'Author': 'grantss', 'Rating': 2, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 28, 16, 43, 42, 637271)}]",True
